Anos,LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3,Re_real,Re_spread
20,TRUE,FALSE,FALSE,FALSE,297.73,758.33,221.9,373.56,525.23,676.9,891.53,401.35
10,TRUE,FALSE,FALSE,FALSE,459.49,699,389.59,529.39,669.19,808.99,1090.74,603.23
10,TRUE,FALSE,FALSE,FALSE,464.93,706.17,394.31,535.54,676.78,818.01,1098.51,610.12
30,TRUE,FALSE,FALSE,FALSE,435.17,906.61,344.51,525.83,707.15,888.47,1063.66,573.21
30,TRUE,FALSE,FALSE,FALSE,434.23,907.63,343.47,524.99,706.52,888.05,1060.31,571.71
10PRM30,TRUE,FALSE,FALSE,FALSE,219.18,879.83,131.19,307.16,483.13,659.09,793.42,303.3
30,TRUE,FALSE,FALSE,FALSE,430.26,913.03,338.96,521.57,704.18,886.78,1056.83,566.84
30,TRUE,FALSE,FALSE,FALSE,427.61,910.31,336.57,518.64,700.7,882.76,1052.41,563.52
10PRM30,TRUE,FALSE,FALSE,FALSE,230.29,883.17,141.98,318.61,495.25,671.88,805.24,316.81
10PRM30,TRUE,FALSE,FALSE,FALSE,229.04,882.65,140.77,317.3,493.83,670.36,803.36,315.15
20,TRUE,FALSE,FALSE,FALSE,302.36,762.57,226.11,378.62,531.13,683.65,894.46,406.67
