LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3
TRUE,FALSE,TRUE,TRUE,214.16,890.21,214.16,214.16,659.26,1104.36
FALSE,TRUE,TRUE,TRUE,282.63,701.63,282.63,282.63,633.45,984.26
FALSE,FALSE,TRUE,TRUE,49.15,881.58,49.15,49.15,489.94,930.73
TRUE,FALSE,TRUE,TRUE,214.77,890.76,214.77,214.77,660.15,1105.53
FALSE,TRUE,FALSE,TRUE,277.59,706.71,206.92,348.27,489.61,630.95
TRUE,FALSE,FALSE,FALSE,239.02,878.36,151.19,326.86,502.53,678.2
TRUE,FALSE,TRUE,TRUE,211.2,881.98,211.2,211.2,652.19,1093.18
TRUE,FALSE,FALSE,TRUE,211.3,883.92,122.91,299.69,476.48,653.26
TRUE,TRUE,FALSE,FALSE,465.63,705.9,395.04,536.22,677.4,818.58
TRUE,TRUE,TRUE,TRUE,462.82,706.66,462.82,462.82,816.15,1169.48
FALSE,FALSE,FALSE,FALSE,50.16,877.95,-37.63,137.96,313.55,489.13
TRUE,FALSE,TRUE,FALSE,235.09,885.18,235.09,235.09,677.68,1120.27
TRUE,TRUE,FALSE,TRUE,457.73,705.5,387.18,528.28,669.38,810.48
TRUE,TRUE,FALSE,TRUE,458.5,705.18,387.98,529.02,670.06,811.09
TRUE,TRUE,FALSE,FALSE,464.28,703.31,393.95,534.61,675.27,815.93
FALSE,FALSE,FALSE,TRUE,43.4,887.24,-45.33,132.12,309.57,487.02
FALSE,FALSE,FALSE,FALSE,53.29,884.97,-35.21,141.79,318.78,495.77
TRUE,TRUE,TRUE,TRUE,453.44,706.13,453.44,453.44,806.51,1159.57
TRUE,TRUE,TRUE,FALSE,470.06,700.65,470.06,470.06,820.38,1170.71
TRUE,FALSE,FALSE,FALSE,219.38,879.03,131.47,307.28,483.09,658.89
TRUE,TRUE,FALSE,FALSE,468.85,704.25,398.43,539.28,680.13,820.97
TRUE,TRUE,TRUE,FALSE,465.2,704.54,465.2,465.2,817.47,1169.74
FALSE,FALSE,FALSE,TRUE,42.54,880.76,-45.53,130.62,306.77,482.92
FALSE,FALSE,TRUE,TRUE,42.36,882.31,42.36,42.36,483.51,924.67
TRUE,FALSE,FALSE,FALSE,218.9,887.41,130.16,307.64,485.12,662.61
FALSE,FALSE,TRUE,TRUE,42.03,881.14,42.03,42.03,482.6,923.16
FALSE,TRUE,FALSE,FALSE,292.65,699.54,222.7,362.61,502.52,642.43
FALSE,TRUE,FALSE,TRUE,277.14,701.37,207.01,347.28,487.55,627.83
FALSE,TRUE,TRUE,FALSE,291.31,701.05,291.31,291.31,641.84,992.36
